Geo,D4c,Year
530330001011,11.0,2018
530330001012,23.0,2018
530330001013,23.0,2018
530330001021,12.0,2018
530330001022,35.0,2018
530330001023,35.0,2018
530330002011,14.0,2018
530330002012,8.0,2018
530330002013,8.0,2018
530330002021,12.0,2018
530330002022,12.0,2018
530330002023,12.0,2018
530330003001,6.0,2018
530330003002,17.0,2018
530330004021,8.0,2018
530330004022,17.0,2018
530330004023,8.0,2018
530330004024,8.0,2018
530330004031,0.0,2018
530330004032,12.0,2018
530330004041,17.0,2018
530330004042,12.0,2018
530330004043,21.0,2018
530330005001,0.0,2018
530330005002,0.0,2018
530330006011,8.0,2018
530330006012,0.0,2018
530330006013,8.0,2018
530330006021,25.0,2018
530330006022,25.0,2018
530330006023,39.0,2018
530330007001,4.0,2018
530330007002,33.0,2018
530330007003,35.0,2018
530330007004,30.0,2018
530330008001,24.0,2018
530330008002,24.0,2018
530330009001,12.0,2018
530330009002,12.0,2018
530330010001,23.0,2018
530330010002,12.0,2018
530330011001,21.0,2018
530330011002,21.0,2018
530330012011,32.0,2018
530330012012,22.0,2018
530330012013,59.0,2018
530330012021,32.0,2018
530330012022,32.0,2018
530330012023,20.0,2018
530330013001,25.0,2018
530330013002,31.0,2018
530330013003,17.0,2018
530330014001,8.0,2018
530330014002,22.0,2018
530330014003,31.0,2018
530330014004,31.0,2018
530330015001,28.0,2018
530330015002,14.0,2018
530330016001,0.0,2018
530330016002,28.0,2018
530330016003,45.0,2018
530330017011,22.0,2018
530330017012,8.0,2018
530330017013,22.0,2018
530330017021,14.0,2018
530330017022,14.0,2018
530330017023,31.0,2018
530330018001,31.0,2018
530330018002,31.0,2018
530330018003,17.0,2018
530330019001,12.0,2018
530330019002,0.0,2018
530330019003,59.0,2018
530330019004,47.0,2018
530330020001,9.0,2018
530330020002,12.0,2018
530330020003,12.0,2018
530330021001,12.0,2018
530330021002,9.0,2018
530330021003,21.0,2018
530330022001,24.0,2018
530330022002,12.0,2018
530330022003,28.0,2018
530330022004,26.0,2018
530330024001,16.0,2018
530330024002,16.0,2018
530330025001,9.0,2018
530330025002,23.0,2018
530330026001,0.0,2018
530330026002,12.0,2018
530330026003,28.0,2018
530330026004,6.0,2018
530330027001,12.0,2018
530330027002,5.0,2018
530330027003,19.0,2018
530330027004,26.0,2018
530330028001,25.0,2018
530330028002,25.0,2018
530330028003,25.0,2018
530330028004,27.0,2018
530330029001,14.0,2018
530330029003,0.0,2018
530330030001,14.0,2018
530330030002,31.0,2018
530330030003,17.0,2018
530330030004,17.0,2018
530330031001,14.0,2018
530330031003,14.0,2018
530330031004,0.0,2018
530330031005,0.0,2018
530330032011,15.0,2018
530330032012,0.0,2018
530330032013,29.0,2018
530330032021,14.0,2018
530330032022,14.0,2018
530330032023,0.0,2018
530330033011,17.0,2018
530330033012,17.0,2018
530330033013,14.0,2018
530330033021,2.0,2018
530330033022,19.0,2018
530330033023,17.0,2018
530330034001,2.0,2018
530330034002,0.0,2018
530330034003,17.0,2018
530330035001,25.0,2018
530330035002,25.0,2018
530330035003,25.0,2018
530330036011,38.0,2018
530330036012,15.0,2018
530330036013,21.0,2018
530330036021,34.0,2018
530330036022,23.0,2018
530330036023,43.0,2018
530330038001,26.0,2018
530330038002,23.0,2018
530330039001,26.0,2018
530330039002,14.0,2018
530330040001,24.0,2018
530330040002,14.0,2018
530330041012,0.0,2018
530330041013,26.0,2018
530330041021,22.0,2018
530330041022,8.0,2018
530330041023,6.0,2018
530330042011,26.0,2018
530330042012,24.0,2018
530330042013,26.0,2018
530330042021,36.0,2018
530330042022,12.0,2018
530330042023,26.0,2018
530330043011,35.0,2018
530330043012,9.0,2018
530330043013,9.0,2018
530330043021,9.0,2018
530330043023,0.0,2018
530330044011,18.0,2018
530330044012,40.0,2018
530330044013,25.0,2018
530330044021,55.0,2018
530330044022,24.0,2018
530330044023,18.0,2018
530330045001,20.0,2018
530330045002,5.0,2018
530330046001,36.0,2018
530330046002,10.0,2018
530330046003,10.0,2018
530330047012,46.0,2018
530330047013,29.0,2018
530330047021,17.0,2018
530330047022,32.0,2018
530330047031,15.0,2018
530330047032,46.0,2018
530330047033,24.0,2018
530330048001,15.0,2018
530330048002,15.0,2018
530330048003,16.0,2018
530330048004,17.0,2018
530330049011,40.0,2018
530330049012,23.0,2018
530330049013,28.0,2018
530330049021,32.0,2018
530330049022,68.0,2018
530330050001,37.0,2018
530330050002,22.0,2018
530330050003,37.0,2018
530330051001,25.0,2018
530330051002,17.0,2018
530330051003,17.0,2018
530330052011,32.0,2018
530330052012,20.0,2018
530330052013,29.0,2018
530330052021,21.0,2018
530330052022,42.0,2018
530330052023,6.0,2018
530330053031,117.0,2018
530330053032,153.0,2018
530330053041,36.0,2018
530330053042,75.0,2018
530330053051,104.0,2018
530330053052,12.0,2018
530330053061,70.0,2018
530330053062,46.0,2018
530330054011,31.0,2018
530330054012,12.0,2018
530330054013,22.0,2018
530330054021,17.0,2018
530330054022,15.0,2018
530330054023,17.0,2018
530330056001,2.0,2018
530330056002,2.0,2018
530330056003,7.0,2018
530330056004,2.0,2018
530330056005,13.0,2018
530330057001,7.0,2018
530330057002,2.0,2018
530330057003,5.0,2018
530330057004,2.0,2018
530330057005,7.0,2018
530330058011,11.0,2018
530330058012,2.0,2018
530330058013,13.0,2018
530330058014,36.0,2018
530330058031,11.0,2018
530330058032,13.0,2018
530330058041,37.0,2018
530330058042,23.0,2018
530330059011,20.0,2018
530330059012,21.0,2018
530330059013,12.0,2018
530330059022,7.0,2018
530330059023,25.0,2018
530330060001,43.0,2018
530330060002,68.0,2018
530330060003,21.0,2018
530330060004,47.0,2018
530330061001,24.0,2018
530330061002,24.0,2018
530330061003,14.0,2018
530330061004,14.0,2018
530330061005,20.0,2018
530330062001,84.0,2018
530330062002,58.0,2018
530330062003,56.0,2018
530330063001,53.0,2018
530330063002,8.0,2018
530330063003,53.0,2018
530330063004,4.0,2018
530330064001,11.0,2018
530330064002,33.0,2018
530330064003,23.0,2018
530330065001,30.0,2018
530330065002,46.0,2018
530330065003,19.0,2018
530330066001,57.0,2018
530330066002,20.0,2018
530330066003,24.0,2018
530330067011,29.0,2018
530330067012,43.0,2018
530330067013,43.0,2018
530330067021,13.0,2018
530330067022,52.0,2018
530330067023,45.0,2018
530330067031,45.0,2018
530330067032,45.0,2018
530330067033,45.0,2018
530330068001,13.0,2018
530330068002,12.0,2018
530330068003,23.0,2018
530330069001,11.0,2018
530330069002,11.0,2018
530330069003,11.0,2018
530330070011,7.0,2018
530330070012,30.0,2018
530330070013,42.0,2018
530330070021,12.0,2018
530330070022,12.0,2018
530330070023,26.0,2018
530330071011,56.0,2018
530330071012,56.0,2018
530330071021,30.0,2018
530330072011,44.0,2018
530330072012,23.0,2018
530330072013,36.0,2018
530330072021,142.0,2018
530330072022,196.0,2018
530330072023,74.0,2018
530330072031,84.0,2018
530330072032,55.0,2018
530330073011,27.0,2018
530330073012,10.0,2018
530330073013,6.0,2018
530330073021,43.0,2018
530330073022,49.0,2018
530330073023,53.0,2018
530330073031,59.0,2018
530330073032,24.0,2018
530330073033,55.0,2018
530330074031,13.0,2018
530330074032,21.0,2018
530330074041,14.0,2018
530330074042,14.0,2018
530330074051,31.0,2018
530330074052,18.0,2018
530330074061,57.0,2018
530330074062,36.0,2018
530330075011,63.0,2018
530330075012,37.0,2018
530330075013,23.0,2018
530330075021,8.0,2018
530330075023,49.0,2018
530330075031,22.0,2018
530330075032,22.0,2018
530330076001,23.0,2018
530330076002,41.0,2018
530330076003,34.0,2018
530330077001,28.0,2018
530330077002,18.0,2018
530330077003,31.0,2018
530330077004,29.0,2018
530330078001,15.0,2018
530330078002,19.0,2018
