Geo,SFDU,MFDU,GQDU,Year
530330017021,224,4,0,2050
530330017022,419,33,0,2050
530330017023,315,0,0,2050
530330017024,464,20,0,2050
530330018001,485,24,0,2050
530330018002,449,58,0,2050
530330018003,472,75,0,2050
530330019001,534,24,0,2050
530330019002,522,0,0,2050
530330019003,0,210,0,2050
530330019004,202,292,0,2050
530330020001,378,148,0,2050
530330020002,424,21,0,2050
530330020003,375,3,0,2050
530330021001,524,0,0,2050
530330021002,393,101,0,2050
530330021003,337,51,0,2050
530330022001,595,0,0,2050
530330022002,542,0,0,2050
530330022003,521,0,0,2050
530330022004,429,84,0,2050
530330024001,579,0,0,2050
530330024002,472,0,0,2050
530330025001,625,0,0,2050
530330025002,477,58,0,2050
530330026001,363,0,0,2050
530330026002,515,0,0,2050
530330026003,369,0,0,2050
530330026004,361,0,0,2050
530330027001,509,39,0,2050
530330027002,534,3,0,2050
530330027003,376,71,0,2050
530330027004,523,10,0,2050
530330028001,427,29,0,2050
530330028002,419,43,0,2050
530330028003,295,59,0,2050
530330028004,389,17,0,2050
530330029001,494,45,0,2050
530330029002,532,20,0,2050
530330029003,526,24,0,2050
530330030001,664,6,0,2050
530330030002,503,2,0,2050
530330030003,603,3,0,2050
530330030004,513,1,0,2050
530330031001,445,0,0,2050
530330031002,479,10,0,2050
530330031003,423,10,0,2050
530330031004,571,0,0,2050
530330031005,533,0,0,2050
530330032011,232,26,0,2050
530330032012,415,280,0,2050
530330032013,170,34,0,2050
530330032021,525,20,0,2050
530330032022,367,120,0,2050
530330032023,484,25,0,2050
530330033011,309,4,0,2050
530330033012,416,49,0,2050
530330033013,329,0,0,2050
530330033021,435,2,0,2050
530330033022,215,23,0,2050
530330033023,236,22,0,2050
530330034001,335,10,0,2050
530330034002,432,11,0,2050
530330034003,310,0,0,2050
530330035001,461,5,0,2050
530330035002,439,3,0,2050
530330035003,271,65,0,2050
530330036011,250,17,0,2050
530330036012,464,15,0,2050
530330036013,112,212,0,2050
530330036021,100,0,0,2050
530330036022,165,72,0,2050
530330036023,93,14,0,2050
530330038001,375,88,0,2050
530330038002,369,0,0,2050
530330039001,607,16,0,2050
530330039002,433,0,0,2050
530330040001,255,554,0,2050
530330040002,354,0,0,2050
530330041011,413,0,0,2050
530330041012,495,0,0,2050
530330041013,351,0,0,2050
530330041021,237,4,0,2050
530330041022,397,44,0,2050
530330041023,449,53,0,2050
530330042011,449,70,0,2050
530330042012,277,22,0,2050
530330042013,466,0,0,2050
530330042021,412,136,0,2050
530330042022,503,0,0,2050
530330042023,515,2,0,2050
530330043011,109,0,0,2050
530330043012,452,0,0,2050
530330043013,353,32,0,2050
530330043021,25,6,0,2050
530330043022,4,0,0,2050
530330043023,47,41,0,2050
530330044011,211,0,0,2050
530330044012,322,0,0,2050
530330044013,83,0,0,2050
530330044021,90,0,0,2050
530330044022,141,9,0,2050
530330044023,37,28,0,2050
530330045001,293,0,0,2050
530330045002,567,0,0,2050
530330046001,382,6,0,2050
530330046002,401,4,0,2050
530330046003,337,3,0,2050
530330047011,78,107,0,2050
530330047012,0,224,0,2050
530330047013,8,21,0,2050
530330047021,223,74,0,2050
530330047022,0,0,0,2050
530330047023,30,90,0,2050
530330047031,340,22,0,2050
530330047032,32,64,0,2050
530330047033,229,5,0,2050
530330048001,387,3,0,2050
530330048002,382,68,0,2050
530330048003,338,134,0,2050
530330048004,376,5,0,2050
530330049011,212,54,0,2050
530330049012,251,66,0,2050
530330049013,177,64,0,2050
530330049021,362,28,0,2050
530330049022,167,348,0,2050
530330050001,361,59,0,2050
530330050002,219,30,0,2050
530330050003,141,89,0,2050
530330051001,342,36,0,2050
530330051002,451,0,0,2050
530330051003,335,12,0,2050
530330052011,235,28,0,2050
530330052012,327,86,0,2050
530330052013,50,202,0,2050
530330052021,37,125,0,2050
530330052022,34,0,0,2050
530330052023,23,38,0,2050
530330053031,0,0,0,2050
530330053032,0,0,0,2050
530330053041,0,0,0,2050
530330053042,0,0,0,2050
530330053051,2,66,0,2050
530330053052,5,20,0,2050
530330053061,5,46,0,2050
530330053062,4,262,0,2050
530330053071,3,0,0,2050
530330053072,3,0,0,2050
530330053073,4,0,0,2050
530330054011,86,83,0,2050
530330054012,154,76,0,2050
530330054013,132,135,0,2050
530330054021,338,5,0,2050
530330054022,160,21,0,2050
530330054023,108,54,0,2050
530330056001,604,0,0,2050
530330056002,547,0,0,2050
530330056003,538,1,0,2050
530330056004,524,0,0,2050
530330056005,574,0,0,2050
530330057001,448,25,0,2050
530330057002,442,0,0,2050
530330057003,445,28,0,2050
530330057004,420,0,0,2050
530330057005,317,103,0,2050
530330058011,369,26,0,2050
530330058012,132,199,0,2050
530330058013,300,214,0,2050
530330058014,220,65,0,2050
530330058031,425,80,0,2050
530330058032,340,112,0,2050
530330058041,70,61,0,2050
530330058042,74,277,0,2050
530330059011,165,139,0,2050
530330059012,111,6,0,2050
530330059013,123,5,0,2050
530330059021,364,83,0,2050
530330059022,471,0,0,2050
530330059023,428,38,0,2050
530330060001,88,312,0,2050
530330060002,436,40,0,2050
530330060003,477,16,0,2050
530330060004,134,68,0,2050
530330061001,248,61,0,2050
530330061002,297,67,0,2050
530330061003,71,151,0,2050
530330061004,47,175,0,2050
530330061005,161,170,0,2050
530330062001,511,14,0,2050
530330062002,552,6,0,2050
530330062003,374,20,0,2050
530330063001,355,115,0,2050
530330063002,548,27,0,2050
530330063003,175,310,0,2050
530330063004,355,234,0,2050
530330064001,388,0,0,2050
530330064002,290,8,0,2050
530330064003,380,2,0,2050
530330065001,433,109,0,2050
530330065002,219,171,0,2050
530330065003,140,313,0,2050
530330066001,23,283,0,2050
530330066002,145,164,0,2050
530330066003,129,108,0,2050
530330067011,0,21,0,2050
530330067012,0,0,0,2050
530330067013,41,344,0,2050
530330067021,116,84,0,2050
530330067022,0,0,0,2050
530330067023,60,193,0,2050
530330067031,261,59,0,2050
530330067032,99,211,0,2050
530330067033,137,130,0,2050
530330068001,361,19,0,2050
530330068002,256,75,0,2050
530330068003,211,244,0,2050
530330069001,351,66,0,2050
530330069002,454,23,0,2050
530330069003,288,145,0,2050
530330070011,148,222,0,2050
530330070012,34,199,0,2050
530330070013,3,101,0,2050
530330070021,61,126,0,2050
530330070022,136,271,0,2050
530330070023,53,104,0,2050
530330071011,0,459,0,2050
530330071012,1,194,0,2050
530330071021,0,271,0,2050
530330071022,0,314,0,2050
530330072011,0,702,0,2050
530330072012,0,226,0,2050
530330072013,0,707,0,2050
530330072021,0,132,0,2050
530330072022,0,51,0,2050
530330072023,0,166,0,2050
530330072031,0,50,0,2050
530330072032,0,492,0,2050
530330073011,0,126,0,2050
530330073012,0,0,0,2050
530330073013,0,0,0,2050
530330073021,0,115,0,2050
530330073022,0,1,0,2050
530330073023,0,367,0,2050
530330073031,0,432,0,2050
530330073032,0,1097,0,2050
530330073033,0,0,0,2050
530330074031,1,0,0,2050
530330074032,7,241,0,2050
530330074041,10,330,0,2050
530330074042,8,166,0,2050
530330074051,3,180,0,2050
530330074052,2,57,0,2050
530330074061,6,244,0,2050
530330074062,2,146,0,2050
530330075011,92,263,0,2050
530330075012,98,59,0,2050
530330075013,49,73,0,2050
530330075021,48,102,0,2050
530330075022,52,97,0,2050
530330075023,46,146,0,2050
530330075031,0,382,0,2050
530330075032,2,302,0,2050
530330076001,193,108,0,2050
530330076002,252,68,0,2050
530330076003,141,92,0,2050
530330077001,506,9,0,2050
530330077002,339,72,0,2050
530330077003,374,0,0,2050
530330077004,364,101,0,2050
530330078001,534,31,0,2050
530330078002,574,4,0,2050
530330078003,401,36,0,2050
530330078004,495,0,0,2050
530330079011,46,274,0,2050
530330079012,124,136,0,2050
530330079021,35,330,0,2050
530330079022,161,11,0,2050
530330079023,294,105,0,2050
530330080021,0,237,0,2050
530330080022,0,324,0,2050
530330080023,0,237,0,2050
530330080031,0,383,0,2050
530330080032,0,508,0,2050
530330080033,0,169,0,2050
530330080041,0,146,0,2050
530330080042,0,250,0,2050
530330080043,0,0,0,2050
530330081011,0,394,0,2050
530330081012,0,566,0,2050
530330081013,0,18,0,2050
530330081021,0,72,0,2050
530330081022,0,464,0,2050
530330082001,0,358,0,2050
530330082002,0,0,0,2050
530330082003,0,635,0,2050
530330083001,1,482,0,2050
530330083002,0,191,0,2050
530330084011,0,304,0,2050
530330084012,0,105,0,2050
530330084013,0,329,0,2050
530330084021,0,205,0,2050
530330084022,0,132,0,2050
530330084023,2,5,0,2050
530330085001,1,55,0,2050
530330085002,0,58,0,2050
530330085003,0,0,0,2050
530330086001,162,91,0,2050
530330086002,117,39,0,2050
530330086003,0,181,0,2050
530330086004,21,168,0,2050
530330087001,328,78,0,2050
530330087002,261,31,0,2050
530330087003,333,57,0,2050
530330088001,453,5,0,2050
530330088002,368,33,0,2050
530330088003,262,0,0,2050
530330089001,343,121,0,2050
530330089002,468,6,0,2050
530330089003,275,18,0,2050
530330089004,477,3,0,2050
530330090001,160,146,0,2050
530330090002,167,304,0,2050
530330090003,165,119,0,2050
530330091001,1,52,0,2050
530330091002,0,368,0,2050
530330092001,0,96,0,2050
530330092002,0,301,0,2050
530330093001,33,226,0,2050
530330093002,0,1113,0,2050
530330093003,307,31,0,2050
530330094001,174,122,0,2050
530330094002,409,0,0,2050
530330094003,313,12,0,2050
530330094004,241,227,0,2050
530330094005,186,28,0,2050
530330095001,624,18,0,2050
530330095002,525,7,0,2050
530330095003,544,8,0,2050
530330095004,342,2,0,2050
530330096001,362,172,0,2050
530330096002,257,443,0,2050
530330096003,425,63,0,2050
530330096004,383,60,0,2050
530330097011,323,163,0,2050
530330097012,512,123,0,2050
530330097013,257,56,0,2050
530330097014,482,91,0,2050
530330097021,480,0,0,2050
530330097022,479,0,0,2050
530330097023,601,0,0,2050
530330097024,552,0,0,2050
530330098011,233,1,0,2050
530330098012,527,0,0,2050
530330098013,410,138,0,2050
530330098021,382,0,0,2050
530330098022,360,47,0,2050
530330098023,370,2,0,2050
530330099001,393,52,0,2050
530330099002,161,222,0,2050
530330099003,637,7,0,2050
530330099004,340,113,0,2050
530330100011,345,57,0,2050
530330100012,372,0,0,2050
530330100013,252,0,0,2050
530330100021,395,5,0,2050
530330100022,303,50,0,2050
530330100023,513,53,0,2050
530330101011,148,0,0,2050
530330101012,275,83,0,2050
530330101013,410,1,0,2050
530330101021,583,6,0,2050
530330101022,505,9,0,2050
530330101023,273,186,0,2050
530330102001,630,20,0,2050
530330102002,397,0,0,2050
530330102003,403,0,0,2050
530330102004,484,0,0,2050
530330103011,409,23,0,2050
530330103012,357,2,0,2050
530330103013,244,0,0,2050
530330103021,145,4,0,2050
530330103022,210,31,0,2050
530330103023,216,38,0,2050
530330104011,377,2,0,2050
530330104012,562,2,0,2050
530330104013,482,0,0,2050
530330104021,427,0,0,2050
530330104022,446,0,0,2050
530330104023,319,0,0,2050
530330104024,422,0,0,2050
530330105011,142,214,0,2050
530330105012,379,4,0,2050
530330105013,140,16,0,2050
530330105021,300,105,0,2050
530330105022,447,0,0,2050
530330105023,162,124,0,2050
530330105024,46,74,0,2050
530330106011,427,27,0,2050
530330106012,378,30,0,2050
530330106013,453,135,0,2050
530330106021,451,24,0,2050
530330106022,595,4,0,2050
530330106023,397,24,0,2050
530330107011,529,0,0,2050
530330107012,250,0,0,2050
530330107013,243,0,0,2050
530330107021,314,99,0,2050
530330107022,252,52,0,2050
530330107023,260,0,0,2050
530330108001,492,0,0,2050
530330108002,506,46,0,2050
530330108003,666,13,0,2050
530330109001,228,3,0,2050
530330109002,244,16,0,2050
530330110011,178,32,0,2050
530330110012,215,0,0,2050
530330110013,328,204,0,2050
530330110021,423,0,0,2050
530330110022,341,0,0,2050
530330110023,198,0,0,2050
530330111011,224,0,0,2050
530330111012,87,351,0,2050
530330111013,397,0,0,2050
530330111014,408,0,0,2050
530330111021,452,0,0,2050
530330111022,287,0,0,2050
530330111023,110,0,0,2050
530330111024,244,41,0,2050
530330112001,425,0,0,2050
530330112002,297,18,0,2050
530330112003,234,0,0,2050
530330113001,433,0,0,2050
530330113002,396,0,0,2050
530330113003,319,17,0,2050
530330113004,403,0,0,2050
530330113005,395,0,0,2050
530330114011,178,0,0,2050
530330114012,224,140,0,2050
530330114013,564,0,0,2050
530330114021,250,90,0,2050
530330114022,347,12,0,2050
530330114023,419,0,0,2050
530330115001,591,0,0,2050
530330115002,580,0,0,2050
530330115003,537,25,0,2050
530330116011,786,0,0,2050
530330116012,604,9,0,2050
530330116021,406,13,0,2050
530330116022,452,0,0,2050
530330116023,342,12,0,2050
530330117001,415,0,0,2050
530330117002,471,0,0,2050
530330117003,440,0,0,2050
530330117004,339,0,0,2050
530330118011,360,0,0,2050
530330118012,329,0,0,2050
530330118013,177,26,0,2050
530330118021,465,0,0,2050
530330118022,237,391,0,2050
530330118023,110,0,0,2050
530330119011,364,27,0,2050
530330119012,362,0,0,2050
530330119013,390,0,0,2050
530330119021,487,0,0,2050
530330119022,504,4,0,2050
530330119023,451,0,0,2050
530330120001,511,35,0,2050
530330120002,495,0,0,2050
530330120003,459,0,0,2050
530330121001,485,84,0,2050
530330121002,649,0,0,2050
530330201001,280,159,0,2050
530330201002,413,11,0,2050
530330201003,406,4,0,2050
530330202001,500,14,0,2050
530330202002,234,117,0,2050
530330202003,453,26,0,2050
530330202004,498,24,0,2050
530330203011,344,82,0,2050
530330203012,204,189,0,2050
530330203021,394,18,0,2050
530330203022,49,93,0,2050
530330203023,450,0,0,2050
530330204011,160,194,0,2050
530330204012,387,0,0,2050
530330204013,443,18,0,2050
530330204021,421,3,0,2050
530330204022,379,97,0,2050
530330204023,505,0,0,2050
530330204024,141,177,0,2050
530330205001,397,190,0,2050
530330205002,307,272,0,2050
530330205003,434,24,0,2050
530330205004,454,16,0,2050
530330205005,324,20,0,2050
530330206001,285,0,0,2050
530330206002,360,3,0,2050
530330206003,429,2,0,2050
530330206004,231,6,0,2050
530330207001,249,30,0,2050
530330207002,223,60,0,2050
530330207003,419,11,0,2050
530330208001,385,3,0,2050
530330208002,542,2,0,2050
530330208003,584,47,0,2050
530330209001,191,212,0,2050
530330209002,373,47,0,2050
530330209003,418,15,0,2050
530330210001,382,0,0,2050
530330210002,368,0,0,2050
530330210003,327,0,0,2050
530330210004,422,0,0,2050
530330210005,354,0,0,2050
530330211001,629,0,0,2050
530330211002,421,16,0,2050
530330211003,241,62,0,2050
530330213001,452,66,0,2050
530330213002,302,27,0,2050
530330213003,401,4,0,2050
530330214001,398,0,0,2050
530330214002,614,0,0,2050
530330214003,452,0,0,2050
530330215001,435,0,0,2050
530330215002,440,0,0,2050
530330215003,402,0,0,2050
530330215004,458,0,0,2050
530330216001,579,0,0,2050
530330216002,201,433,0,2050
530330216003,432,9,0,2050
530330216004,292,8,0,2050
530330217011,144,44,0,2050
530330217012,494,0,0,2050
530330217013,499,0,0,2050
530330217021,277,285,0,2050
530330217022,234,36,0,2050
530330217023,130,227,0,2050
530330218021,71,450,0,2050
530330218022,0,0,0,2050
530330218023,445,82,0,2050
530330218024,545,0,0,2050
530330218031,286,129,0,2050
530330218032,219,48,0,2050
530330218033,189,239,0,2050
530330218034,332,50,0,2050
530330218041,421,0,0,2050
530330218042,73,30,0,2050
530330218043,477,21,0,2050
530330218044,125,64,0,2050
530330219031,120,258,0,2050
530330219032,170,168,0,2050
530330219033,545,0,0,2050
530330219034,426,47,0,2050
530330219041,533,4,0,2050
530330219042,273,19,0,2050
530330219043,253,142,0,2050
530330219044,504,0,0,2050
530330219051,177,581,0,2050
530330219052,316,172,0,2050
530330219053,257,178,0,2050
530330219054,303,67,0,2050
530330219061,294,218,0,2050
530330219062,365,72,0,2050
530330219063,446,241,0,2050
530330220011,479,184,0,2050
530330220012,161,263,0,2050
530330220013,625,0,0,2050
530330220031,490,0,0,2050
530330220032,229,0,0,2050
530330220033,259,149,0,2050
530330220034,453,0,0,2050
530330220051,365,160,0,2050
530330220052,219,81,0,2050
530330220053,0,339,0,2050
530330220054,195,172,0,2050
530330220061,392,192,0,2050
530330220062,277,302,0,2050
530330220063,24,321,0,2050
530330221011,489,42,0,2050
530330221012,393,90,0,2050
530330221013,435,0,0,2050
530330221014,301,122,0,2050
530330221021,321,72,0,2050
530330221022,513,140,0,2050
530330221023,610,0,0,2050
530330221024,626,0,0,2050
530330222011,554,0,0,2050
530330222012,533,0,0,2050
530330222013,262,183,0,2050
530330222031,490,0,0,2050
530330222032,471,0,0,2050
530330222033,310,209,0,2050
530330222034,499,0,0,2050
530330222041,358,78,0,2050
530330222042,372,81,0,2050
530330222043,349,0,0,2050
530330222051,0,362,0,2050
530330222052,242,32,0,2050
530330222053,330,234,0,2050
530330223001,663,0,0,2050
530330223002,455,31,0,2050
530330224011,348,16,0,2050
530330224012,473,15,0,2050
530330224013,252,0,0,2050
530330224021,216,322,0,2050
530330224022,568,0,0,2050
530330224023,543,132,0,2050
530330225011,494,0,0,2050
530330225012,453,82,0,2050
530330225013,263,348,0,2050
530330225021,95,696,0,2050
530330225022,56,404,0,2050
530330225023,119,228,0,2050
530330226031,332,462,0,2050
530330226032,483,0,0,2050
530330226033,303,151,0,2050
530330226034,357,166,0,2050
530330226041,605,107,0,2050
530330226042,397,182,0,2050
530330226043,560,2,0,2050
530330226051,0,172,0,2050
530330226052,517,144,0,2050
530330226053,390,113,0,2050
530330226061,503,0,0,2050
530330226062,61,800,0,2050
530330226063,639,770,0,2050
530330226064,445,0,0,2050
530330227011,230,370,0,2050
530330227012,153,208,0,2050
530330227021,378,115,0,2050
530330227022,218,52,0,2050
530330227023,473,0,0,2050
530330227031,386,0,0,2050
530330227032,394,0,0,2050
530330228021,676,0,0,2050
530330228022,379,165,0,2050
530330228023,219,2,0,2050
530330228024,73,212,0,2050
530330228031,1,0,0,2050
530330228032,0,0,0,2050
530330228033,0,0,0,2050
530330228034,551,412,0,2050
530330228041,38,404,0,2050
530330228042,0,20,0,2050
530330228043,85,423,0,2050
530330228051,0,176,0,2050
530330228052,536,0,0,2050
530330228053,119,136,0,2050
530330229011,569,0,0,2050
530330229012,483,0,0,2050
530330229021,616,0,0,2050
530330229022,671,0,0,2050
530330229023,148,360,0,2050
530330229024,369,140,0,2050
530330230001,538,0,0,2050
530330230002,432,38,0,2050
530330230003,468,0,0,2050
530330230004,472,0,0,2050
530330231001,319,0,0,2050
530330231002,482,0,0,2050
530330231003,611,0,0,2050
530330232011,286,0,0,2050
530330232012,163,207,0,2050
530330232013,0,213,0,2050
530330232014,136,0,0,2050
530330232021,21,373,0,2050
530330232022,341,17,0,2050
530330232023,0,114,0,2050
530330233001,540,0,0,2050
530330233002,481,37,0,2050
530330233003,455,0,0,2050
530330233004,596,0,0,2050
530330234011,304,96,0,2050
530330234012,326,235,0,2050
530330234013,216,11,0,2050
530330234031,440,112,0,2050
530330234032,294,157,0,2050
530330234033,497,29,0,2050
530330234041,492,215,0,2050
530330234042,507,0,0,2050
530330235001,459,0,0,2050
530330235002,270,60,0,2050
530330235003,337,154,0,2050
530330236011,215,301,0,2050
530330236012,142,686,0,2050
530330236013,378,20,0,2050
530330236031,180,288,0,2050
530330236032,115,24,0,2050
530330236033,294,78,0,2050
530330236034,0,0,0,2050
530330236035,0,0,0,2050
530330236041,96,195,0,2050
530330236042,340,12,0,2050
530330236043,311,268,0,2050
530330236044,207,41,0,2050
530330237011,110,228,0,2050
530330237012,447,80,0,2050
530330237013,457,0,0,2050
530330237021,13,73,0,2050
530330237022,0,0,0,2050
530330238011,151,207,0,2050
530330238012,348,239,0,2050
530330238051,1,117,0,2050
530330238052,0,809,0,2050
530330238061,0,212,0,2050
530330238062,0,136,0,2050
530330238063,0,44,0,2050
530330238071,0,1080,0,2050
530330238072,0,193,0,2050
530330238073,0,540,0,2050
530330238081,0,0,0,2050
530330238082,0,0,0,2050
530330238083,0,299,0,2050
530330239011,9,225,0,2050
530330239012,521,0,0,2050
530330239013,529,0,0,2050
530330239021,558,0,0,2050
530330239022,471,463,0,2050
530330240011,414,221,0,2050
530330240012,573,2,0,2050
530330240013,242,125,0,2050
530330240021,430,59,0,2050
530330240022,190,351,0,2050
530330240023,180,184,0,2050
530330241001,616,0,0,2050
530330241002,557,0,0,2050
530330241003,540,0,0,2050
530330242001,531,0,0,2050
530330242002,645,0,0,2050
530330243011,9,587,0,2050
530330243012,46,641,0,2050
530330243013,427,72,0,2050
530330243021,544,3,0,2050
530330243022,331,101,0,2050
530330243023,520,0,0,2050
530330244001,375,229,0,2050
530330244002,166,0,0,2050
530330245001,596,0,0,2050
530330245002,569,0,0,2050
530330245003,650,0,0,2050
530330246011,626,0,0,2050
530330246012,492,0,0,2050
530330246013,581,0,0,2050
530330246021,549,0,0,2050
530330246022,767,0,0,2050
530330247011,257,64,0,2050
530330247012,292,494,0,2050
530330247013,459,0,0,2050
530330247031,465,62,0,2050
530330247032,480,0,0,2050
530330247033,396,0,0,2050
530330247041,424,36,0,2050
530330247042,551,0,0,2050
530330247043,369,146,0,2050
530330248001,586,4,0,2050
530330248002,506,65,0,2050
530330248003,114,585,0,2050
530330249011,362,0,0,2050
530330249012,588,0,0,2050
530330249013,442,0,0,2050
530330249014,410,0,0,2050
530330249021,421,0,0,2050
530330249022,595,0,0,2050
530330249023,309,75,0,2050
530330249041,470,0,0,2050
530330249042,501,0,0,2050
530330249051,514,0,0,2050
530330249052,781,167,0,2050
530330250011,542,64,0,2050
530330250012,232,64,0,2050
530330250013,506,0,0,2050
530330250014,351,30,0,2050
530330250051,676,78,0,2050
530330250052,0,252,0,2050
530330250053,450,226,0,2050
530330250061,351,232,0,2050
530330250062,510,0,0,2050
530330250063,468,60,0,2050
530330250064,206,204,0,2050
530330250071,224,205,0,2050
530330250072,369,0,0,2050
530330250073,415,100,0,2050
530330250081,458,0,0,2050
530330250082,422,0,0,2050
530330251011,181,9,0,2050
530330251012,256,154,0,2050
530330251013,521,0,0,2050
530330251014,449,61,0,2050
530330251031,266,192,0,2050
530330251032,398,0,0,2050
530330251033,493,0,0,2050
530330251041,338,0,0,2050
530330251042,348,0,0,2050
530330251043,541,0,0,2050
530330252011,531,0,0,2050
530330252012,289,297,0,2050
530330252013,298,0,0,2050
530330252021,609,95,0,2050
530330252022,356,72,0,2050
530330252023,164,0,0,2050
530330253021,185,82,0,2050
530330253022,45,286,0,2050
530330253023,146,145,0,2050
530330253024,170,22,0,2050
530330253031,308,12,0,2050
530330253032,0,0,0,2050
530330253041,316,26,0,2050
530330253042,664,44,0,2050
530330254011,240,53,0,2050
530330254012,75,155,0,2050
530330254013,111,0,0,2050
530330254021,310,96,0,2050
530330254022,0,0,0,2050
530330254023,378,0,0,2050
530330255001,232,25,0,2050
530330255002,432,32,0,2050
530330255003,603,0,0,2050
530330256011,478,0,0,2050
530330256012,169,45,0,2050
530330256013,513,0,0,2050
530330256021,648,35,0,2050
530330256022,579,0,0,2050
530330256023,515,0,0,2050
530330256024,539,0,0,2050
530330257021,377,0,0,2050
530330257022,386,0,0,2050
530330257023,394,0,0,2050
530330257031,4,63,0,2050
530330257032,172,283,0,2050
530330257041,246,160,0,2050
530330257042,307,20,0,2050
530330258031,522,0,0,2050
530330258032,274,150,0,2050
530330258033,87,76,0,2050
530330258041,488,0,0,2050
530330258042,414,0,0,2050
530330258043,365,13,0,2050
530330258051,318,311,0,2050
530330258052,480,77,0,2050
530330258053,99,211,0,2050
530330258061,612,0,0,2050
530330258062,203,0,0,2050
530330258063,431,0,0,2050
530330260011,553,0,0,2050
530330260012,499,0,0,2050
530330260013,449,0,0,2050
530330260014,515,0,0,2050
530330260031,235,0,0,2050
530330260032,19,68,0,2050
530330260033,1,66,0,2050
530330260041,267,0,0,2050
530330260042,400,114,0,2050
530330260043,423,4,0,2050
530330261011,79,44,0,2050
530330261012,298,63,0,2050
530330261013,415,17,0,2050
530330261021,317,2,0,2050
530330261022,191,0,0,2050
530330261023,334,58,0,2050
530330262001,14,0,0,2050
530330262002,383,0,0,2050
530330262003,103,169,0,2050
530330262004,156,421,0,2050
530330263001,156,0,0,2050
530330263002,384,0,0,2050
530330264001,169,0,0,2050
530330264002,160,137,0,2050
530330264003,292,0,0,2050
530330264004,243,225,0,2050
530330265001,277,0,0,2050
530330265002,213,1,0,2050
530330265003,342,0,0,2050
530330266001,315,24,0,2050
530330266002,447,51,0,2050
530330267001,467,0,0,2050
530330267002,181,16,0,2050
530330267003,440,0,0,2050
530330267004,633,0,0,2050
530330268011,513,0,0,2050
530330268012,150,162,0,2050
530330268013,120,0,0,2050
530330268014,186,0,0,2050
530330268021,320,0,0,2050
530330268022,198,40,0,2050
530330268023,352,33,0,2050
530330268024,414,6,0,2050
530330270001,331,0,0,2050
530330270002,318,0,0,2050
530330270003,394,14,0,2050
530330271001,129,0,0,2050
530330271002,281,0,0,2050
530330271003,371,0,0,2050
530330272001,340,1,0,2050
530330272002,307,0,0,2050
530330273001,364,62,0,2050
530330273002,60,0,0,2050
530330273003,405,6,0,2050
530330273004,494,0,0,2050
530330274001,420,0,0,2050
530330274002,512,0,0,2050
530330274003,487,101,0,2050
530330274004,314,0,0,2050
530330275001,342,29,0,2050
530330275002,584,20,0,2050
530330275003,502,4,0,2050
530330276001,174,0,0,2050
530330276002,145,161,0,2050
530330276003,550,0,0,2050
530330277011,790,0,0,2050
530330277012,573,34,0,2050
530330277013,534,22,0,2050
530330277014,482,10,0,2050
530330277021,847,0,0,2050
530330277022,911,0,0,2050
530330277023,853,18,0,2050
530330278001,727,7,0,2050
530330278002,711,11,0,2050
530330279011,390,0,0,2050
530330279012,473,0,0,2050
530330279013,409,3,0,2050
530330279021,284,4,0,2050
530330279022,33,465,0,2050
530330279023,79,101,0,2050
530330280001,96,47,0,2050
530330280002,7,4,0,2050
530330280003,149,36,0,2050
530330281001,210,48,0,2050
530330281002,178,0,0,2050
530330282001,346,0,0,2050
530330282002,195,137,0,2050
530330282003,156,0,0,2050
530330283001,579,0,0,2050
530330283002,530,0,0,2050
530330283003,122,552,0,2050
530330284021,198,58,0,2050
530330284022,284,0,0,2050
530330284023,517,0,0,2050
530330284024,50,0,0,2050
530330284031,180,610,0,2050
530330284032,1,190,0,2050
530330284033,425,68,0,2050
530330284034,129,0,0,2050
530330285001,333,37,0,2050
530330285002,494,0,0,2050
530330285003,89,273,0,2050
530330286001,551,0,0,2050
530330286002,292,26,0,2050
530330286003,468,0,0,2050
530330286004,437,70,0,2050
530330286005,429,0,0,2050
530330287001,575,0,0,2050
530330287002,693,0,0,2050
530330287003,644,0,0,2050
530330288011,348,64,0,2050
530330288012,204,0,0,2050
530330288021,319,11,0,2050
530330288022,483,15,0,2050
530330288023,113,0,0,2050
530330288024,3,0,0,2050
530330289011,180,70,0,2050
530330289012,419,33,0,2050
530330289013,75,323,0,2050
530330289021,10,16,0,2050
530330289022,298,88,0,2050
530330289023,51,83,0,2050
530330289024,50,162,0,2050
530330289025,160,59,0,2050
530330290011,228,391,0,2050
530330290012,610,24,0,2050
530330290013,506,192,0,2050
530330290031,274,74,0,2050
530330290032,193,22,0,2050
530330290033,372,0,0,2050
530330290034,301,0,0,2050
530330290041,323,137,0,2050
530330290042,33,0,0,2050
530330291011,164,164,0,2050
530330291012,8,716,0,2050
530330291021,526,0,0,2050
530330291022,501,0,0,2050
530330291023,198,90,0,2050
530330292031,185,0,0,2050
530330292032,268,51,0,2050
530330292033,42,6,0,2050
530330292051,0,687,0,2050
530330292052,0,189,0,2050
530330292053,0,496,0,2050
530330292061,12,4,0,2050
530330292062,0,2,0,2050
530330292063,45,205,0,2050
530330292071,443,0,0,2050
530330292072,464,0,0,2050
530330292081,112,0,0,2050
530330292082,209,0,0,2050
530330293041,420,0,0,2050
530330293042,417,0,0,2050
530330293043,207,150,0,2050
530330293044,425,0,0,2050
530330293051,460,39,0,2050
